sample	STARGenomeName	R1	R2	Strandedness	old.sample.name	Experiment	cell.type	libType	Treatment	dose.nM	rep	color	ExperimentAlias
1_Fibroblast_polyA_DMSO_NA_2	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/DMSO-2.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/DMSO-2.R2_001.fastq.gz	U	DMSO-2	1	Fibroblast	polyA	DMSO	NA	2	#969696	Single high dose fibroblast
1_Fibroblast_polyA_DMSO_NA_3	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/DMSO-3.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/DMSO-3.R2_001.fastq.gz	U	DMSO-3	1	Fibroblast	polyA	DMSO	NA	3	#969696	Single high dose fibroblast
1_Fibroblast_polyA_SM2_NA_1	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/SM2-1.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/SM2-1.R2_001.fastq.gz	U	SM2-1	1	Fibroblast	polyA	SM2	NA	1	#ffff99	Single high dose fibroblast
1_Fibroblast_polyA_SM2_NA_2	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/SM2-2.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/SM2-2.R2_001.fastq.gz	U	SM2-2	1	Fibroblast	polyA	SM2	NA	2	#ffff99	Single high dose fibroblast
1_Fibroblast_polyA_SM2_NA_3	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/SM2-3.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/SM2-3.R2_001.fastq.gz	U	SM2-3	1	Fibroblast	polyA	SM2	NA	3	#ffff99	Single high dose fibroblast
2_LCL_polyA_Branaplam_1_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_8_L001_ds.d08bb4afea2a4c99a878dd372262bf6e/Bran-8_S8_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_8_L001_ds.d08bb4afea2a4c99a878dd372262bf6e/Bran-8_S8_L001_R2_001.fastq.gz	RF	TitrationExpBran-8	2	LCL	polyA	Branaplam	1	1	#F7FCF5	Dose response titration
2_LCL_polyA_Branaplam_1_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_8_L002_ds.13aa698400854eedaf7a215ca7f8e7e2/Bran-8_S8_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_8_L002_ds.13aa698400854eedaf7a215ca7f8e7e2/Bran-8_S8_L002_R2_001.fastq.gz	RF	TitrationExpBran-8	2	LCL	polyA	Branaplam	1	1	#F7FCF5	Dose response titration
2_LCL_polyA_Branaplam_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_7_L001_ds.e8bbbc5663c54563b94a9221d58e9c90/Bran-7_S7_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_7_L001_ds.e8bbbc5663c54563b94a9221d58e9c90/Bran-7_S7_L001_R2_001.fastq.gz	RF	TitrationExpBran-7	2	LCL	polyA	Branaplam	3.16	1	#E5F5E0	Dose response titration
2_LCL_polyA_Branaplam_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_7_L002_ds.4a9378130f0f4ee88582984927881c8c/Bran-7_S7_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_7_L002_ds.4a9378130f0f4ee88582984927881c8c/Bran-7_S7_L002_R2_001.fastq.gz	RF	TitrationExpBran-7	2	LCL	polyA	Branaplam	3.16	1	#E5F5E0	Dose response titration
2_LCL_polyA_Branaplam_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_6_L001_ds.eb06714ea5d543f49102d5f2faaa5b54/Bran-6_S6_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_6_L001_ds.eb06714ea5d543f49102d5f2faaa5b54/Bran-6_S6_L001_R2_001.fastq.gz	RF	TitrationExpBran-6	2	LCL	polyA	Branaplam	10	1	#C7E9C0	Dose response titration
2_LCL_polyA_Branaplam_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_6_L002_ds.27e6bc2af5b14f7880b589346afad6fe/Bran-6_S6_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_6_L002_ds.27e6bc2af5b14f7880b589346afad6fe/Bran-6_S6_L002_R2_001.fastq.gz	RF	TitrationExpBran-6	2	LCL	polyA	Branaplam	10	1	#C7E9C0	Dose response titration
2_LCL_polyA_Branaplam_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_5_L001_ds.2c1fba09df844d7bbe666da8d8a38b73/Bran-5_S5_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_5_L001_ds.2c1fba09df844d7bbe666da8d8a38b73/Bran-5_S5_L001_R2_001.fastq.gz	RF	TitrationExpBran-5	2	LCL	polyA	Branaplam	31.6	1	#A1D99B	Dose response titration
2_LCL_polyA_Branaplam_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_5_L002_ds.2eff562ef27e4a40a96343e986c36bff/Bran-5_S5_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_5_L002_ds.2eff562ef27e4a40a96343e986c36bff/Bran-5_S5_L002_R2_001.fastq.gz	RF	TitrationExpBran-5	2	LCL	polyA	Branaplam	31.6	1	#A1D99B	Dose response titration
2_LCL_polyA_Branaplam_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_4_L001_ds.004a35009e3146a8a2ed2fe93a042fd6/Bran-4_S4_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_4_L001_ds.004a35009e3146a8a2ed2fe93a042fd6/Bran-4_S4_L001_R2_001.fastq.gz	RF	TitrationExpBran-4	2	LCL	polyA	Branaplam	100	1	#74C476	Dose response titration
2_LCL_polyA_Branaplam_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_4_L002_ds.0ab5d821a44745bfb4d193ea69f60818/Bran-4_S4_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_4_L002_ds.0ab5d821a44745bfb4d193ea69f60818/Bran-4_S4_L002_R2_001.fastq.gz	RF	TitrationExpBran-4	2	LCL	polyA	Branaplam	100	1	#74C476	Dose response titration
2_LCL_polyA_Branaplam_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_3_L001_ds.843f46a8c4bc4f7a9c04b3aea4ad4c02/Bran-3_S3_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_3_L001_ds.843f46a8c4bc4f7a9c04b3aea4ad4c02/Bran-3_S3_L001_R2_001.fastq.gz	RF	TitrationExpBran-3	2	LCL	polyA	Branaplam	316	1	#41AB5D	Dose response titration
2_LCL_polyA_Branaplam_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_3_L002_ds.70e5e7c679014978b5a528ceb77bf2d3/Bran-3_S3_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_3_L002_ds.70e5e7c679014978b5a528ceb77bf2d3/Bran-3_S3_L002_R2_001.fastq.gz	RF	TitrationExpBran-3	2	LCL	polyA	Branaplam	316	1	#41AB5D	Dose response titration
2_LCL_polyA_Branaplam_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_2_L001_ds.59e06d99653e4c34bfc85ec3a087c71e/Bran-2_S2_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_2_L001_ds.59e06d99653e4c34bfc85ec3a087c71e/Bran-2_S2_L001_R2_001.fastq.gz	RF	TitrationExpBran-2	2	LCL	polyA	Branaplam	1000	1	#238B45	Dose response titration
2_LCL_polyA_Branaplam_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_2_L002_ds.ab85acec90b24f0887a55c3f86b13b75/Bran-2_S2_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_2_L002_ds.ab85acec90b24f0887a55c3f86b13b75/Bran-2_S2_L002_R2_001.fastq.gz	RF	TitrationExpBran-2	2	LCL	polyA	Branaplam	1000	1	#238B45	Dose response titration
2_LCL_polyA_Branaplam_3160_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_1_L001_ds.6cb67d71b6024360a0bd0a4f454c3751/Bran-1_S1_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_1_L001_ds.6cb67d71b6024360a0bd0a4f454c3751/Bran-1_S1_L001_R2_001.fastq.gz	RF	TitrationExpBran-1	2	LCL	polyA	Branaplam	3160	1	#005A32	Dose response titration
2_LCL_polyA_Branaplam_3160_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_1_L002_ds.e4273e38d7c04803aa33e54ad1724b08/Bran-1_S1_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Bran_1_L002_ds.e4273e38d7c04803aa33e54ad1724b08/Bran-1_S1_L002_R2_001.fastq.gz	RF	TitrationExpBran-1	2	LCL	polyA	Branaplam	3160	1	#005A32	Dose response titration
2_LCL_polyA_C2C5_0.316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_8_L001_ds.cc027000181543819fd482c45d2a2c54/C2C5-8_S24_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_8_L001_ds.cc027000181543819fd482c45d2a2c54/C2C5-8_S24_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-8	2	LCL	polyA	C2C5	0.316	1	#FCFBFD	Dose response titration
2_LCL_polyA_C2C5_0.316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_8_L002_ds.4893facc5342466aa665c100987d5ce0/C2C5-8_S24_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_8_L002_ds.4893facc5342466aa665c100987d5ce0/C2C5-8_S24_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-8	2	LCL	polyA	C2C5	0.316	1	#FCFBFD	Dose response titration
2_LCL_polyA_C2C5_1_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_7_L001_ds.f71c93b6449a4a49ab521c61bd3cad80/C2C5-7_S23_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_7_L001_ds.f71c93b6449a4a49ab521c61bd3cad80/C2C5-7_S23_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-7	2	LCL	polyA	C2C5	1	1	#EFEDF5	Dose response titration
2_LCL_polyA_C2C5_1_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_7_L002_ds.3e21f167415e4e42b5cf1b0a72927473/C2C5-7_S23_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_7_L002_ds.3e21f167415e4e42b5cf1b0a72927473/C2C5-7_S23_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-7	2	LCL	polyA	C2C5	1	1	#EFEDF5	Dose response titration
2_LCL_polyA_C2C5_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_6_L001_ds.01e8d965563842e5bc5eaa5d4d939bed/C2C5-6_S22_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_6_L001_ds.01e8d965563842e5bc5eaa5d4d939bed/C2C5-6_S22_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-6	2	LCL	polyA	C2C5	3.16	1	#DADAEB	Dose response titration
2_LCL_polyA_C2C5_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_6_L002_ds.58577885e8a84cc69c1491b9eb1c89f0/C2C5-6_S22_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_6_L002_ds.58577885e8a84cc69c1491b9eb1c89f0/C2C5-6_S22_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-6	2	LCL	polyA	C2C5	3.16	1	#DADAEB	Dose response titration
2_LCL_polyA_C2C5_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_5_L001_ds.b8308ede11c84b1a8daeffcf97c7addd/C2C5-5_S21_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_5_L001_ds.b8308ede11c84b1a8daeffcf97c7addd/C2C5-5_S21_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-5	2	LCL	polyA	C2C5	10	1	#BCBDDC	Dose response titration
2_LCL_polyA_C2C5_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_5_L002_ds.bed75f5642e64856bc44f84d5b0beb5a/C2C5-5_S21_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_5_L002_ds.bed75f5642e64856bc44f84d5b0beb5a/C2C5-5_S21_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-5	2	LCL	polyA	C2C5	10	1	#BCBDDC	Dose response titration
2_LCL_polyA_C2C5_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_4_L001_ds.b3f1b64137d048bbb223edf070dbb27d/C2C5-4_S20_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_4_L001_ds.b3f1b64137d048bbb223edf070dbb27d/C2C5-4_S20_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-4	2	LCL	polyA	C2C5	31.6	1	#9E9AC8	Dose response titration
2_LCL_polyA_C2C5_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_4_L002_ds.5232fbe5458c422087a820ca744dc6e1/C2C5-4_S20_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_4_L002_ds.5232fbe5458c422087a820ca744dc6e1/C2C5-4_S20_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-4	2	LCL	polyA	C2C5	31.6	1	#9E9AC8	Dose response titration
2_LCL_polyA_C2C5_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_3_L001_ds.5ad65c769f2d4fa1b41e8fc33eb5ed12/C2C5-3_S19_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_3_L001_ds.5ad65c769f2d4fa1b41e8fc33eb5ed12/C2C5-3_S19_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-3	2	LCL	polyA	C2C5	100	1	#807DBA	Dose response titration
2_LCL_polyA_C2C5_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_3_L002_ds.956a062715bd4d41ba11b8846b4f0af9/C2C5-3_S19_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_3_L002_ds.956a062715bd4d41ba11b8846b4f0af9/C2C5-3_S19_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-3	2	LCL	polyA	C2C5	100	1	#807DBA	Dose response titration
2_LCL_polyA_C2C5_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_2_L001_ds.8cf0799db26e4597a832c5d0a7f33b10/C2C5-2_S18_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_2_L001_ds.8cf0799db26e4597a832c5d0a7f33b10/C2C5-2_S18_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-2	2	LCL	polyA	C2C5	316	1	#6A51A3	Dose response titration
2_LCL_polyA_C2C5_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_2_L002_ds.1818ee11c9af4505b8b606df41d888ac/C2C5-2_S18_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_2_L002_ds.1818ee11c9af4505b8b606df41d888ac/C2C5-2_S18_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-2	2	LCL	polyA	C2C5	316	1	#6A51A3	Dose response titration
2_LCL_polyA_C2C5_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_1_L001_ds.99f3db2148924790a674c12d897d6383/C2C5-1_S17_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_1_L001_ds.99f3db2148924790a674c12d897d6383/C2C5-1_S17_L001_R2_001.fastq.gz	RF	TitrationExpC2C5-1	2	LCL	polyA	C2C5	1000	1	#4A1486	Dose response titration
2_LCL_polyA_C2C5_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_1_L002_ds.73f1506c4d764c14bc5edf68c58c6068/C2C5-1_S17_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_C2C5_1_L002_ds.73f1506c4d764c14bc5edf68c58c6068/C2C5-1_S17_L002_R2_001.fastq.gz	RF	TitrationExpC2C5-1	2	LCL	polyA	C2C5	1000	1	#4A1486	Dose response titration
2_LCL_polyA_DMSO_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_1_L001_ds.1c0d3be1f705433e9496e3c848d6b049/DMSO-1_S25_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_1_L001_ds.1c0d3be1f705433e9496e3c848d6b049/DMSO-1_S25_L001_R2_001.fastq.gz	RF	TitrationExpDMSO-1	2	LCL	polyA	DMSO	NA	1	#969696	Dose response titration
2_LCL_polyA_DMSO_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_1_L002_ds.b39880801e654c9192ce53a7f14a8219/DMSO-1_S25_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_1_L002_ds.b39880801e654c9192ce53a7f14a8219/DMSO-1_S25_L002_R2_001.fastq.gz	RF	TitrationExpDMSO-1	2	LCL	polyA	DMSO	NA	1	#969696	Dose response titration
2_LCL_polyA_DMSO_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_2_L001_ds.91d0737b936e46ab90e8cdd144470cb2/DMSO-2_S26_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_2_L001_ds.91d0737b936e46ab90e8cdd144470cb2/DMSO-2_S26_L001_R2_001.fastq.gz	RF	TitrationExpDMSO-2	2	LCL	polyA	DMSO	NA	2	#969696	Dose response titration
2_LCL_polyA_DMSO_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_2_L002_ds.33a39d0546b44460aa86c69672b413ec/DMSO-2_S26_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_2_L002_ds.33a39d0546b44460aa86c69672b413ec/DMSO-2_S26_L002_R2_001.fastq.gz	RF	TitrationExpDMSO-2	2	LCL	polyA	DMSO	NA	2	#969696	Dose response titration
2_LCL_polyA_DMSO_NA_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_3_L001_ds.7a68188f2f2f4863b97b2208486de73b/DMSO-3_S27_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_3_L001_ds.7a68188f2f2f4863b97b2208486de73b/DMSO-3_S27_L001_R2_001.fastq.gz	RF	TitrationExpDMSO-3	2	LCL	polyA	DMSO	NA	3	#969696	Dose response titration
2_LCL_polyA_DMSO_NA_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_3_L002_ds.0a8046ff11fc4c6dbe6aa4dd69ed9935/DMSO-3_S27_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_DMSO_3_L002_ds.0a8046ff11fc4c6dbe6aa4dd69ed9935/DMSO-3_S27_L002_R2_001.fastq.gz	RF	TitrationExpDMSO-3	2	LCL	polyA	DMSO	NA	3	#969696	Dose response titration
2_LCL_polyA_Risdiplam_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_8_L001_ds.276848370fa749d2aad7bbd78e19ea48/Ris-8_S16_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_8_L001_ds.276848370fa749d2aad7bbd78e19ea48/Ris-8_S16_L001_R2_001.fastq.gz	RF	TitrationExpRis-8	2	LCL	polyA	Risdiplam	3.16	1	#F7FBFF	Dose response titration
